,Plant,Plant taxonomy,PlantSize,Light ,Water ,Temp_low (degF),Temp_high (degF),Temp_Range,TempDurability,Humidity ,Flowering ,Pests ,Soil ,PotSize ,Pruning ,Propogation (multiple options),SpecialOccasion ,CleanAirPlant,Toxicitylevel,"Verified (1 = good to go, 0 = possible error)"
1,African Violet,Saintpaulia ionantha,1,2,2,75,80,5,1,3,1,1,"rich, airy",1,1,leaf cutting,1,2,1,
2,Agave Plant,Agave attenuata,2,3,1,50,80,30,3,1,2,1,"quick draining, cactus",2,2,offset,2,2,2,
3,Alocasia,Alocasia Amazonica,2,2,2,60,80,20,2,3,1,1,"organic, well-aerated, loose",2,1,plant division,2,2,2,
4,Alocasia-Nebula,Alocasia nebula imperialis,2,2,2,60,80,20,2,3,1,1,"organic, well-aerated, loose",2,1,plant division,2,2,2,
5,Aloe Vera Plant,Aloe Vera,1,3,1,65,85,20,2,1,1,2,any,1,2,"offset, sucker",2,1,2,
6,Aluminum Plant,Pilea,1,2,2,60,75,15,2,3,1,1,airy,1,1,stem cutting,2,2,1,
7,Amaryllis,Hippeastrum,2,2,2,65,70,5,1,2,1,1,"bulb, quick draining",1,1,offset,1,2,2,
8,Angel Wing Begonia,Begonia Coccinea,2,2,1,65,75,10,1,2,1,1,rich,2,1,stem cutting,2,2,2,
9,Anthurium,Anthurium,2,2,2,75,85,10,1,3,1,1,"rich, organic, loose",1,1,"stem cutting, offset",2,1,2,
10,Aralia Plant,Polyscias fruticosa,2,2,1,60,85,25,3,3,2,1,"peat-based, well-aerated, light",2,1,"stem cutting, air layering",2,2,2,
11,Aralia Plant-Balfour,Polyscias-scutellaria,2,2,1,65,80,15,2,3,2,1,"peat-based, well-aerated, light",1,1,"stem cutting, air layering",2,2,2,
12,Areca Palm,Dypsis lutescens,3,2,2,65,75,10,1,3,2,1,"rich, acidic",3,1,"seed, offset, sucker, plant division",2,1,1,
13,Arrowhead Plant,Syngonium podophyllum,2,2,2,60,75,15,2,3,2,1,"rich, organic",2,1,"stem cutting, plant division",2,2,2,
14,Asparagus Fern,Asparagus sprengeri,2,2,1,50,75,25,3,2,1,1,well-aerated,1,2,plant division,2,2,2,
15,Azalea,Rhododendron,2,2,2,60,70,10,1,2,1,1,"rich, acidic",1,1,"stem cutting, graft, tissue culture",1,2,2,
16,Baby's Tears Plant,Soleirolia helxine,1,2,2,60,75,15,2,3,1,1,"well-aerated, quick draining",1,1,"plant division, stem cutting",2,2,1,
17,Bamboo Palm,Chamaedorea seifrizii,3,2,2,65,80,15,2,3,2,1,well-aerated,3,1,seed,2,1,2,
18,Begonia Plant,Begonia,2,2,1,65,75,10,1,3,1,2,"well-aerated, quick draining",2,1,"stem cutting, leaf cutting",2,2,2,
19,Begonia Rex,Begoniaceae,2,2,1,65,75,10,1,3,1,1,well-aerated,3,1,"stem cutting, leaf cutting",2,2,2,
20,Bird of Paradise Plant,Strelitzia,3,3,2,55,75,20,2,2,2,1,quick draining,3,1,plant division,2,2,2,
21,Bird's Nest Fern,Asplenium nidus,3,2,2,70,90,20,2,3,2,1,organic,3,2,"spore, tissue culture",2,2,1,
22,Bleeding Heart Vine,Clerodendrum,3,2,1,65,85,20,2,3,1,2,"rich, organic, quick draining",3,1,"stem cutting, seed",2,2,2,
23,Boston Fern,Nephrolepis exaltata,2,2,1,60,70,10,1,3,2,1,quick draining,2,1,plant division,2,1,1,
24,Bougainvillea,Bougainvillea,3,3,1,60,85,25,3,3,1,2,"loamy, organic, quick-draining",3,1,stem cutting,2,2,2,
25,Bromeliad Aechmea,Aechmea fasciata,2,3,2,60,75,15,2,2,1,1,"bromeliad, orchid potting",1,2,offset,2,1,1,
26,Bromeliad Guzmania,Bromeliaceae,2,2,1,40,100,60,3,2,2,1,"well-aerated, quick draining",1,2,offset,2,2,1,
27,Cactus Plant,Cereus Peruvianus monstrosus,3,3,1,60,80,20,2,1,1,1,"quick draining, cactus",3,2,"seed, plant division, plant cutting",2,2,2,
28,Caladium Plant,Caladium,2,2,2,70,85,15,2,3,1,1,"acidic, quick draining",2,2,tuber division,2,2,2,
29,Calathea Plant - Peacock Plant,Calathea roseopicta,2,2,2,65,80,15,2,3,1,1,"porous, quick draining",2,1,plant division,2,2,1,
30,Calethea Plant- Striped Calethia,Calathea ornata lineata,2,2,2,65,80,15,2,3,1,1,"porous, quick draining",2,1,plant division,2,2,1,
31,Calla Lily Plant,Zantedeschia aethiopica,2,2,3,50,75,25,3,2,1,1,"well-aerated, quick draining",2,1,"plant division, seed",1,2,2,
32,Cast Iron Plant,Aspidistra,2,1,1,50,85,35,3,2,1,1,"rich, organic",2,2,plant division,2,2,1,
33,Cat Palm,Chamaedorea cataractarum,3,2,2,45,80,35,3,3,2,1,quick draining,2,1,seed,2,1,1,
34,China Doll Plant,Radermachera sinica,3,3,1,65,75,10,1,2,2,1,"rich, well-aerated, quick draining",3,1,stem cutting,2,2,1,
35,Chinese Evergreen,Aglaonema,2,1,2,50,80,30,3,2,1,1,"well-aerated, quick draining",1,1,"stem cutting, plant division",2,1,2,
36,Chinese Evergreen Plant- Amelia,Aglaonema,2,1,2,50,80,30,3,2,1,1,"well-aerated, quick draining",1,1,"stem cutting, plant division",2,1,2,
37,Christmas Cactus Plant,Schlumbergera bridgesii,2,1,1,45,75,30,3,2,1,1,"rich, acidic",1,1,stem cutting,1,2,1,
38,Chrysanthemum Plant,Chrysanthemum,2,2,2,60,70,10,1,3,1,1,"quick draining, acidic",1,1,transplant,1,1,2,
39,Cineraria Plant,Pericallis cruenta,1,3,3,45,65,20,2,2,1,2,"quick draining, well-aerated, loose, peat moss",1,1,seed,1,1,2,
40,Clivia Plant,Clivia miniata,2,3,1,50,70,20,2,2,1,2,"quick draining, peat moss, sand",1,1,"plant division, offset",2,2,2,
41,Coffee Plant,C. arabica,3,2,3,42,78,36,3,3,1,1,"light, acidic, peat moss",3,1,seed,2,2,1,
42,Coleus Plant,Solenostemon,2,3,3,55,85,30,3,3,1,1,"quick draining, well-aerated",2,2,stem cutting,2,2,1,
43,Creeping Fig Plant,Ficus pumila,2,2,3,55,75,20,2,3,2,1,quick draining,2,2,stem cutting,2,2,2,
44,Croton Plant,Codiaeum variegatum,2,3,2,60,80,20,2,3,1,1,"rich, loose",2,1,"stem cutting, air layering",2,2,2,
